港澳频道,#genre#
三立財經新聞,https://sc2022.stream-link.org/tv2306.php?id=t10
三立新聞,https://sc2022.stream-link.org/tv2306.php?id=t11
三立新聞+,https://sc2022.stream-link.org/tv2306.php?id=t12
台視新聞,https://sc2022.stream-link.org/tv2306.php?id=t13
公視新聞,https://sc2022.stream-link.org/tv2306.php?id=t29
TVBS新聞,https://sc2022.stream-link.org/tv2306.php?id=t14
TVBS財經,https://sc2022.stream-link.org/tv2306.php?id=t15
TVBS歡樂台,https://sc2022.stream-link.org/tv2306.php?id=t16
中天亞洲台,https://sc2022.stream-link.org/tv2306.php?id=t17
TVBS亞洲台,https://sc2022.stream-link.org/tv2306.php?id=t18
民視HD,https://sc2022.stream-link.org/tv2306.php?id=t19
民視第一台,https://sc2022.stream-link.org/tv2306.php?id=t20
民視台灣台,https://sc2022.stream-link.org/tv2306.php?id=t21
民視綜藝台,https://sc2022.stream-link.org/tv2306.php?id=t22
民視影劇台,https://sc2022.stream-link.org/tv2306.php?id=t23
民視旅遊台,https://sc2022.stream-link.org/tv2306.php?id=t24
三立台灣,https://sc2022.stream-link.org/tv2306.php?id=t25
三立都會,https://sc2022.stream-link.org/tv2306.php?id=t26
緯來體育,https://sc2022.stream-link.org/tv2306.php?id=s03
HOY TV,http://s1.dtmb-s1.cc/dvb-steam/77/index.m3u8?token=OexLs8sMxgetr_HuraUxVQ&expires=1700661983
HOY TV 資訊台,http://s1.dtmb-s1.cc/dvb-steam/78/index.m3u8?token=sxSRKFi96d5ZTG-F0jHKMg&expires=1700661983
HOY 國際財經台,http://s1.dtmb-s1.cc/dvb-steam/76/index.m3u8?token=wNbM6PdkY55TDeXAzlrTzA&expires=1700661983
天才衝衝衝,https://sc2022.stream-link.org/tv2306.php?id=t27
龍華電影,https://sc2022.stream-link.org/tv2306.php?id=t30
龍華日韓,https://sc2022.stream-link.org/tv2306.php?id=t31
影迷數位電影台,https://sc2022.stream-link.org/tv2306.php?id=t32
i-Fun動漫台,https://sc2022.stream-link.org/tv2306.php?id=t33
MTV,https://sc2022.stream-link.org/tv2306.php?id=t34
History歷史頻道,https://sc2022.stream-link.org/tv2306.php?id=t35
靖天日本台,https://sc2022.stream-link.org/tv2306.php?id=t36
靖天電影台,https://sc2022.stream-link.org/tv2306.php?id=t37
ELTA娛樂台,https://sc2022.stream-link.org/tv2306.php?id=t38
国际频道,#genre#
中央新聞台,https://sc2022.stream-link.org/tv2306.php?id=h14
Love Nature,https://sc2022.stream-link.org/tv2306.php?id=t39
Jelli,http://s1.dtmb-s1.cc/ott-steam/108/index.m3u8?token=a-2yUVJYwzYVoDAL2O-AOg&expires=1700661983
Popcorn,http://s1.dtmb-s1.cc/ott-steam/133/index.m3u8?token=pi3UoVo5F9DfsgSz8FpOog&expires=1700661983
Now Live,http://s1.dtmb-s1.cc/ott-steam/331/index.m3u8?token=0KXzvWmGJGHt9eJOGj8K7Q&expires=1700661983
Now News,http://s1.dtmb-s1.cc/ott-steam/332/index.m3u8?token=-t_xZv-Nwl2Ur0p23y9S6g&expires=1700661983
Now News,https://sc2022.stream-link.org/tv2306.php?id=h08
Now BNC,http://s1.dtmb-s1.cc/ott-steam/333/index.m3u8?token=iMd0z-GN6QJcDgnMso5Ulg&expires=1700661983
Now BNC,https://sc2022.stream-link.org/tv2306.php?id=h25
Now Sports Prime,http://s1.dtmb-s1.cc/ott-steam/630/index.m3u8?token=P5kvodefLP_jB5hfN49ubg&expires=1700661983
Now Sports 1,http://s1.dtmb-s1.cc/ott-steam/631/index.m3u8?token=1HQdLDc8laGS5vGH-MTW8Q&expires=1700661983
J,http://s1.dtmb-s1.cc/ott-steam/J/index.m3u8?token=UMuF7fWK0qEzzpZOvCrSuA&expires=1700661983
Kids,http://s1.dtmb-s1.cc/ott-steam/KID/index.m3u8?token=qxxaInmtx3ZQUaGlLgrkqw&expires=1700661983
Mei Ah,http://s1.dtmb-s1.cc/ott-steam/201/index.m3u8?token=rGwoldaVGMHuj9f9ZljRbQ&expires=1700661983
Animax,http://s1.dtmb-s1.cc/ott-steam/Animax/index.m3u8?token=WbzXw_YzvFA5IkJVHigmjA&expires=1700661983
YouTube Music Prime,http://s1.dtmb-s1.cc/dvb-steam/youtube/index.m3u8?token=UdJgyx90giUN5OVI4QsYiA&expires=1700661983
Abu Dhabi Sports 1,https://sc2022.stream-link.org/tv2306.php?id=s05
Abu Dhabi Sports 2,https://sc2022.stream-link.org/tv2306.php?id=s06
DAZN F1,https://sc2022.stream-link.org/tv2306.php?id=s07
DAZN 西甲,https://sc2022.stream-link.org/tv2306.php?id=s08
MLB,https://sc2022.stream-link.org/tv2306.php?id=s09
NBA TV,https://sc2022.stream-link.org/tv2306.php?id=s10
Unbeaten,https://sc2022.stream-link.org/tv2306.php?id=s11
FIFA+,https://sc2022.stream-link.org/tv2306.php?id=s12
Tennis Channel,https://sc2022.stream-link.org/tv2306.php?id=s13
beIN SPORTS XTRA,https://sc2022.stream-link.org/tv2306.php?id=s14
beIN SPORTS,https://sc2022.stream-link.org/tv2306.php?id=s15
beIN SPORTS 2,https://sc2022.stream-link.org/tv2306.php?id=s16
beIN SPORTS 3,https://sc2022.stream-link.org/tv2306.php?id=s17
beIN SPORTS 4,https://sc2022.stream-link.org/tv2306.php?id=s18
Astro SUPERSPORT,https://sc2022.stream-link.org/tv2306.php?id=s19
Astro SUPERSPORT 2,https://sc2022.stream-link.org/tv2306.php?id=s20
Astro SUPERSPORT 3,https://sc2022.stream-link.org/tv2306.php?id=s21
Astro SUPERSPORT 4,https://sc2022.stream-link.org/tv2306.php?id=s22
Astro CH795,https://sc2022.stream-link.org/tv2306.php?id=s23
Astro CH796,https://sc2022.stream-link.org/tv2306.php?id=s24
Astro CH797,https://sc2022.stream-link.org/tv2306.php?id=s25
ANN News,https://sc2022.stream-link.org/tv2306.php?id=e01
BBC News,https://sc2022.stream-link.org/tv2306.php?id=e02
Bloomberg,https://sc2022.stream-link.org/tv2306.php?id=e03
CBN News,https://sc2022.stream-link.org/tv2306.php?id=e04
CBS News,https://sc2022.stream-link.org/tv2306.php?id=e05
CNA News,https://sc2022.stream-link.org/tv2306.php?id=e06
CNN Live,https://sc2022.stream-link.org/tv2306.php?id=e07
DW News,https://sc2022.stream-link.org/tv2306.php?id=e08
Fox Live,https://sc2022.stream-link.org/tv2306.php?id=e09
France 24 English,https://sc2022.stream-link.org/tv2306.php?id=e10
NBC News,https://sc2022.stream-link.org/tv2306.php?id=e11
NHK World Japan,https://sc2022.stream-link.org/tv2306.php?id=e12
SKY News,https://sc2022.stream-link.org/tv2306.php?id=e13
KBS World,https://sc2022.stream-link.org/tv2306.php?id=e14
Japan weather news,https://sc2022.stream-link.org/tv2306.php?id=e15
GEM,https://sc2022.stream-link.org/tv2306.php?id=e16
KBC,https://sc2022.stream-link.org/tv2306.php?id=e17
연합뉴스TV_로고(韓聯社新聞),https://sc2022.stream-link.org/tv2306.php?id=e18
PLAYY 韓國電影台,https://sc2022.stream-link.org/tv2306.php?id=e19

